source_path,reason_for_exclusion,file_size_mb,suggested_public_alternative
scripts/manuscript_figures/__pycache__/build_fig3_main_v31_celloracle_perturbation.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.025,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig3_main_v3_celloracle_perturbation.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.024,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig4_main_v31_robustness_support.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.026,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig4_main_v3_robustness_support.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.025,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig5_main_v31_program_model.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.025,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig5_main_v3_program_model.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.020,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig5_main_v4_program_model.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.029,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_figS5_supportive_external_evidence_revised_v2.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.021,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_figS7_drug_repositioning_exploratory_revised_v2.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.023,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_main_figures.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.025,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_main_figures_v2.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.030,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_main_figures_v3.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.036,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_supplementary_package.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.043,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_supplementary_package_v3.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.045,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/robustness/__pycache__/01_inspect_input_object.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.005,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/robustness/__pycache__/02_leave_one_donor_out.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.011,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/robustness/__pycache__/03_pseudobulk_validation.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.009,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/robustness/__pycache__/04_shortlist_sensitivity.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.006,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/robustness/__pycache__/05_make_master_summary.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.006,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/robustness/__pycache__/robustness_common.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.014,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/robustness/__pycache__/run_all_robustness_validation.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.001,Use source accession or rerun scripts; see environment_notes.md and results/audit.
