compound,normalized_compound_name,associated_axis,axis_assignment_score,axis_assignment_margin,axis_counts,supporting_query_sets,support_count,support_count_main_axes,main_supporting_gene_set,main_supporting_gene_set_score,best_adjusted_p,best_combined_score,best_rank,best_term,best_library,indicative_mechanism,indicative_drug_class,mechanism_interpretability_score,translational_caution_category,translational_suitability_score,include_in_main_axis_pool,note,enrichment_support_score,cross_signature_score,axis_relevance_score,axis_assignment_confidence_score,final_score_prebbb,main_table_exclusion_reason,main_table_eligible,weak_fdr_retained_reason,final_priority_tier,BBB_layer,BBB_score,BBB_note,translational_interpretation,tool_compound_like,broad_epigenetic_modulator_like,weak_fdr_manual_review,low_cns_epilepsy_relevance,axis_preference,notes,was_v2_top_priority_clue,weighted_pre_penalty_score_v21,v21_component_enrichment_support_score,v21_component_cross_signature_score,v21_component_axis_relevance_score,v21_component_mechanism_interpretability_score,v21_component_translational_suitability_score,v21_component_axis_assignment_confidence_score,weak_fdr_penalty_value,single_signature_penalty_value,tool_compound_penalty_value,low_cns_epilepsy_relevance_penalty_value,total_penalty_v21,final_score_v21,v21_penalty_reasons,lead_layer_v21,v21_evidence_tier,v21_layer_reason
(+)-MK-801 hydrogen maleate,(+)-MK-801 hydrogen maleate,THRB,0.5150820702857148,0.5150820702857148,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1577554643413132,0.1972231028562379,108.10356363888964,27,(+)-MK-801 hydrogen maleate BOSS,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0484918212737146,1.0,1.0,1.0,0.5395475463821143,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,True,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6106983642547429,0.00969836425474292,0.18,0.16,0.024,0.117,0.12,0.12,0.0,0.0,0.18,0.3,0.3106983642547429,weak_fdr;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
kainic acid,kainic acid,THRB,0.5024185571060911,0.5024185571060911,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1576989929327775,0.1995682971117345,67.04278374363157,37,kainic acid BOSS,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0281568334404552,1.0,1.0,1.0,0.5334470500321365,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,True,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.606631366688091,0.00563136668809104,0.18,0.16,0.024,0.117,0.12,0.12,0.0,0.0,0.18,0.3,0.30663136668809104,weak_fdr;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
2'-Deoxy cyclic AMP,2'-Deoxy cyclic AMP,THRB,0.5006950461591909,0.5006950461591909,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1576467770165661,0.2017615720214794,61.54653341446361,40,2'-Deoxy cyclic AMP BOSS,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0253748265218388,1.0,1.0,1.0,0.5326124479565516,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,True,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6060749653043678,0.005074965304367761,0.18,0.16,0.024,0.117,0.12,0.12,0.0,0.0,0.18,0.3,0.3060749653043678,weak_fdr;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
camptothecin,camptothecin,NFE2L2,0.7228489833855325,0.7228489833855325,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_regulon_targets,0.4652669682990082,7.6704538927717135e-25,250.83896042359143,5,camptothecin PC3 DOWN,DSigDB,broad_cytotoxic/topoisomerase,broad_cytotoxic/topoisomerase,0.65,oncology_or_broad_cytotoxic_caution,0.15,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.4651200798635162,1.0,1.0,1.0,0.6715360239590549,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6440240159727032,0.09302401597270325,0.18,0.16,0.052000000000000005,0.039,0.12,0.0,0.0,0.2,0.18,0.38,0.2640240159727032,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
Methaneseleninic acid,Methaneseleninic acid,NFE2L2,0.3572612764038275,0.3572612764038275,NFE2L2:1,NFE2L2_regulon_targets,1,1,NFE2L2_regulon_targets,0.2332937987918749,2.6781597173961163e-08,88.94910493827103,34,Methaneseleninic acid CTD 00000412,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1405964439059094,0.5,1.0,0.8572612764038274,0.4757598352840789,,True,,low_priority_retained,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,True,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。,False,0.5219906419496412,0.02811928878118188,0.09,0.16,0.024,0.117,0.10287135316845929,0.0,0.1,0.0,0.18,0.28,0.24199064194964115,single_signature;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
ZINC,ZINC,NFE2L2,0.34086083518937,0.34086083518937,NFE2L2:1,NFE2L2_regulon_targets,1,1,NFE2L2_regulon_targets,0.2273280018504613,9.336447295725728e-08,47.96490801144781,39,ZINC CTD 00007011,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1123546233676929,0.5,1.0,0.84086083518937,0.4659752538254574,,True,,low_priority_retained,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,True,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。,False,0.514374224896263,0.022470924673538582,0.09,0.16,0.024,0.117,0.1009033002227244,0.0,0.1,0.0,0.18,0.28,0.23437422489626303,single_signature;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
H-7,H-7,NFE2L2,0.3389095205442953,0.3389095205442953,NFE2L2:1,NFE2L2_regulon_targets,1,1,NFE2L2_regulon_targets,0.2240848533313515,1.840828516889049e-07,48.33074470103401,43,H-7 MCF7 DOWN,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1081749691008714,0.5,1.0,0.8389095205442954,0.464565252373805,,True,,low_priority_retained,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,True,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。,False,0.5133041362854898,0.02163499382017428,0.09,0.16,0.024,0.117,0.10066914246531544,0.0,0.1,0.0,0.18,0.28,0.23330413628548974,single_signature;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
VITAMIN E,VITAMIN E,NFE2L2,0.3326165963304103,0.3326165963304103,NFE2L2:1,NFE2L2_regulon_targets,1,1,NFE2L2_regulon_targets,0.2174818711558017,7.333046524445683e-07,41.53140555369291,52,VITAMIN E CTD 00006994,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0959430442113923,0.5,1.0,0.8326165963304104,0.4603922409698505,,True,,low_priority_retained,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,True,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。,False,0.5101026004019278,0.01918860884227846,0.09,0.16,0.024,0.117,0.09991399155964925,0.0,0.1,0.0,0.18,0.28,0.23010260040192776,single_signature;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
GW-8510,GW-8510,NFE2L2,0.5672439621754672,0.5672439621754672,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_regulon_targets,0.3051452404608167,2.7627512004502316e-10,76.19350743775541,20,GW-8510 MCF7 DOWN,DSigDB,mapk/kinase,mapk/kinase,0.65,identifier_or_tool_compound_manual_review,0.25,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.163680457437801,1.0,1.0,1.0,0.5951041372313403,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6097360914875603,0.0327360914875602,0.18,0.16,0.052000000000000005,0.065,0.12,0.0,0.0,0.2,0.18,0.38,0.22973609148756025,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
pregnenolone,pregnenolone,NFE2L2,0.5661471282139413,0.5661471282139413,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_core_program,0.2192867987999541,1.1985489742801266e-08,105.07504761669642,30,pregnenolone PC3 DOWN,DSigDB,thyroid/hormone,thyroid/hormone,0.65,identifier_or_tool_compound_manual_review,0.25,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1537167597309913,1.0,1.0,1.0,0.5921150279192974,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6077433519461982,0.03074335194619826,0.18,0.16,0.052000000000000005,0.065,0.12,0.0,0.0,0.2,0.18,0.38,0.2277433519461982,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
alsterpaullone,alsterpaullone,NFE2L2,0.5574226056206343,0.5574226056206343,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_regulon_targets,0.2452835813038499,2.1769890525482155e-09,64.66386253383548,23,alsterpaullone MCF7 DOWN,DSigDB,mapk/kinase,mapk/kinase,0.65,identifier_or_tool_compound_manual_review,0.25,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1447336048155189,1.0,1.0,1.0,0.5894200814446556,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6059467209631038,0.02894672096310378,0.18,0.16,0.052000000000000005,0.065,0.12,0.0,0.0,0.2,0.18,0.38,0.22594672096310375,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
COUMESTROL,COUMESTROL,NFE2L2,0.5552105123474883,0.5552105123474883,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_regulon_targets,0.2442149353946597,2.7227381289744067e-09,59.68214677213295,25,COUMESTROL CTD 00005717,DSigDB,thyroid/hormone,thyroid/hormone,0.65,identifier_or_tool_compound_manual_review,0.25,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1408389559370586,1.0,1.0,1.0,0.5882516867811176,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6051677911874117,0.028167791187411723,0.18,0.16,0.052000000000000005,0.065,0.12,0.0,0.0,0.2,0.18,0.38,0.2251677911874117,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
captopril,captopril,NFE2L2,0.5614579449893824,0.4202378775108675,NFE2L2:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets,3,2,NFE2L2_regulon_targets,0.2452835813038499,2.1769890525482155e-09,77.78547595738253,24,captopril PC3 DOWN,DSigDB,metabolic/homeostatic,metabolic/homeostatic,0.65,identifier_or_tool_compound_manual_review,0.25,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1512077058878123,1.0,1.0,0.9202378775108676,0.5849813419672132,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.5976700864788665,0.03024154117756246,0.18,0.16,0.052000000000000005,0.065,0.11042854530130411,0.0,0.0,0.2,0.18,0.38,0.21767008647886654,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
Torcetrapib,Torcetrapib,NFE2L2,0.6165412100869847,0.463226339006705,NFE2L2:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets,3,2,NFE2L2_regulon_targets,0.2802596149886417,1.4395170701440577e-12,184.52428420823244,15,Torcetrapib CTD 00004291,DSigDB,未自动识别；需人工核实,unknown,0.3,identifier_or_tool_compound_manual_review,0.25,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.2508942913233036,1.0,1.0,0.9632263390067052,0.5693263945175274,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.5947660189454653,0.050178858264660724,0.18,0.16,0.024,0.065,0.11558716068080462,0.0,0.0,0.2,0.18,0.38,0.21476601894546532,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
MPEP,MPEP,THRB,0.6385837777714615,0.6385837777714615,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,507.11775303850175,9,MPEP CTD 00003723,DSigDB,calcium/synaptic,calcium/synaptic,1.0,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.2470341778412098,1.0,1.0,1.0,0.697110253352363,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,True,False,True,True,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.706406835568242,0.049406835568241964,0.18,0.16,0.08,0.117,0.12,0.12,0.0,0.2,0.18,0.5,0.20640683556824202,weak_fdr;tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
0175029-0000,0175029-0000,NFE2L2,0.5775542379105384,0.5775542379105384,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_regulon_targets,0.2736684679671987,5.720210396504677e-12,71.39002640006903,16,0175029-0000 PC3 DOWN,DSigDB,未自动识别；需人工核实,unknown,0.3,identifier_or_tool_compound_manual_review,0.25,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1862134636073174,1.0,1.0,1.0,0.5528640390821952,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.5862426927214635,0.03724269272146348,0.18,0.16,0.024,0.065,0.12,0.0,0.0,0.2,0.18,0.38,0.20624269272146345,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
nocodazole,nocodazole,NFE2L2,0.6479764981373035,0.4757563609775376,NFE2L2:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets,3,2,NFE2L2_regulon_targets,0.3088742889943214,3.604813648457598e-15,227.5307795270741,13,nocodazole HL60 UP,DSigDB,broad_cytotoxic/topoisomerase,broad_cytotoxic/topoisomerase,0.65,high_caution_toxic_or_research_chemical,0.05,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.3105835116953818,1.0,1.0,0.9757563609775376,0.6092355623868175,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.5842074656563809,0.06211670233907636,0.18,0.16,0.052000000000000005,0.013000000000000001,0.1170907633173045,0.0,0.0,0.2,0.18,0.38,0.20420746565638093,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
daunorubicin,daunorubicin,NFE2L2,0.5663050341971969,0.5663050341971969,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_regulon_targets,0.2919539727317116,4.370669158854371e-09,64.11781193667892,27,daunorubicin MCF7 DOWN,DSigDB,broad_cytotoxic/topoisomerase,broad_cytotoxic/topoisomerase,0.65,oncology_or_broad_cytotoxic_caution,0.15,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1399877938546685,1.0,1.0,1.0,0.5739963381564006,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.5789975587709337,0.0279975587709337,0.18,0.16,0.052000000000000005,0.039,0.12,0.0,0.0,0.2,0.18,0.38,0.19899755877093372,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
sanguinarine,sanguinarine,NFE2L2,0.5642853164147028,0.5642853164147028,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_core_program,0.2230636921101945,2.1486214026629922e-08,93.60297893925708,32,sanguinarine MCF7 DOWN,DSigDB,未自动识别；需人工核实,unknown,0.3,identifier_or_tool_compound_manual_review,0.25,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1443075538174336,1.0,1.0,1.0,0.5402922661452301,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.5778615107634868,0.02886151076348672,0.18,0.16,0.024,0.065,0.12,0.0,0.0,0.2,0.18,0.38,0.1978615107634868,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
formaldehyde,formaldehyde,NFE2L2,0.6165411493780691,0.6165411493780691,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_regulon_targets,0.3180239936113055,5.30996293847308e-16,106.3802245329171,9,formaldehyde CTD 00006001,DSigDB,environmental_toxicant,environmental_toxicant,0.65,high_caution_toxic_or_research_chemical,0.05,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.2631098288393256,1.0,1.0,1.0,0.5969329486517977,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.5776219657678652,0.052621965767865125,0.18,0.16,0.052000000000000005,0.013000000000000001,0.12,0.0,0.0,0.2,0.18,0.38,0.19762196576786517,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
POTASSIUM CHROMATE,POTASSIUM CHROMATE,NFE2L2,0.6250342093672057,0.4693417366221731,NFE2L2:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets,3,2,NFE2L2_regulon_targets,0.3214836324767401,2.5738241158442616e-16,126.83804751185632,8,POTASSIUM CHROMATE CTD 00001284,DSigDB,environmental_toxicant,environmental_toxicant,0.65,high_caution_toxic_or_research_chemical,0.05,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.2778547673933379,1.0,1.0,0.969341736622173,0.5989037691477752,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.5768919618733284,0.055570953478667584,0.18,0.16,0.052000000000000005,0.013000000000000001,0.11632100839466077,0.0,0.0,0.2,0.18,0.38,0.19689196187332836,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
